informant,role_type,time,passage,provisional_logic,cultural_schema,dominant_logic,final_coding
R,Legacy,1899-12-31 03:52:00,I think resources certainly get in the way,we don't have enough resources to uncover customer pain points,WE DON'T SPEND ON R&D,FINANCIAL PERFORMANCE FIRST,
R,Legacy,1899-12-31 04:07:00,sales and marketing people. Don't look out much…they don't have a good view od what's out there...VOC not helpful,Sales and marketing don't know the customer ,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 04:19:00,And then getting to the real pain point for the customer to innovate around that we don't get good data on that.,we need to innovate around real customer pain points,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 04:29:00,Apple innovated around the trends that they saw,We should innovate around trends,INNOVATION IS ANTICIPATING TRENDS,UNK,
R,Legacy,1899-12-31 04:44:00,if we did (get good customer pain point data) we would innovate more,good customer data would allow us to innnovate,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 05:22:00,i don't have additional resources to get out in front of it (the customer's true pain points),we don't have enough resources to uncover customer pain points,WE DON'T SPEND ON R&D,FINANCIAL PERFORMANCE FIRST,
R,Legacy,1899-12-31 05:34:00,managing the funnel and sending engineers out with sales people (if I had more resources),if we had more resources we would uncover true pain points,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 05:43:00,if i did we would start innovating more,we need resources to innovate,INNOVATION REQUIRES RESOURCES,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,
R,Legacy,1899-12-31 05:52:00,I know that the key to innovation is observing true customer pain points,we need to innovate around real customer pain points,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 06:00:00,its how you solve those real problems…you need to live in the customer/user environment to figure that out,by being close to the customer we can figure out what they really need,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 06:30:00,Xylem is a big company…Xylem is setting aside resources…Xylem Innovation Labs…that's (only) one piece of the innovation,XYL does innovation by M&A,INNOVATION IS BEST DONE BY OTHERS (VIA M&A),FINANCIAL PERFORMANCE FIRST/ CERTAINTY,
R,Legacy,1899-12-31 07:11:00,"even if you figure out what companies are the right ones to invest in, you still have to look at pain points",we need to innovate around real customer pain points,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 10:02:00,"we need to look at the industrial systems…not in Xylem terms, but in customer problem terms…those things will lead to 'we might be able to solve it this way…'. We don't get into that…enough",by being close to the customer we can figure out what they really need,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 10:45:00,customer systems are the next stage for us to figure out innovative solutions…we're doing it this way today…is there a new way to do it (tomorrow)…(e.g.) maybe we can eliminate valves?,by looking at a whole customer system we can innovate,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 11:07:00,we just don't spend enough time to figure that out,we don't have enough resources to uncover customer pain points,WE DON'T SPEND ON R&D,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,
