UMAP_1,UMAP_2,Dominant_Logic,Passage_Wrapped
0.09030728,3.2939222,CERTAINTY,And then getting to the real pain point for the customer to innovate around that<br>we don't get good d...
11.275186,1.6866801,FINANCIAL PERFORMANCE FIRST,large parts of the business don't account for the cost of labor...difficlult to<br>engage with broader ...
0.98167455,1.394951,ENTREPRENEUR,ideally you would form a team that came from different parts of the business to<br>deliver that particu...
3.8912034,4.356915,FINANCIAL PERFORMANCE FIRST,non financial value is not enough to drive change
1.3684694,6.419276,CERTAINTY,most new solutions go out the window in our market (water industry is old<br>school)
1.2803243,3.2170641,ENTREPRENEUR,Sensus is doing (interesting) R&D work…
11.312771,1.6474202,FINANCIAL PERFORMANCE FIRST,CTs are kings and heroes and sell whatever they want (XYL never kills products)
4.86328,4.081667,FINANCIAL PERFORMANCE FIRST,shareholders are in it for the short term rather than the long term
8.350604,5.4120507,CERTAINTY,put people who move fast and are not afraid to take a little bit of risk in that<br>DGC
4.9450135,3.804334,CERTAINTY,utility customers spend public money; they are constrained
2.1811914,2.1588793,FINANCIAL PERFORMANCE FIRST,will the remaining make the business case in 7 years?
7.884652,4.66557,ENTREPRENEUR,I give her (Sivan) air cover and deflect any incoming flak
1.8780993,2.355767,FINANCIAL PERFORMANCE FIRST,I think resources certainly get in the way
8.431779,4.860412,CERTAINTY,I would be more happy to be unhappy...we go rogue because we have to (because<br>decisions aren't made ...
0.8177782,4.077649,CERTAINTY,lets really invest time to find out what our customers and key markets would<br>like us to do for them…...
0.47003046,2.0648937,CERTAINTY,what we don't know is how the customer is solving it
2.2783234,2.6823645,CERTAINTY,whats the market really ready for? We should work at the pace at which the marke<br>is ready
1.1538683,3.9741123,CERTAINTY,before Microsoft and Apple did that (dictated to the market) they saw enough<br>trends to see where the...
3.2102134,4.322851,ENTREPRENEUR,next generation products are not innovation
8.242166,4.1561813,ENTREPRENEUR,people got fed up and left
0.99236727,1.2939961,CERTAINTY,there is no good or bad answer; it's just how you implement it (franchise vs<br>centralized)
2.1648526,1.748054,FINANCIAL PERFORMANCE FIRST,we have made a bet in our marketing plan…and then we'll see…but we need a little<br>more slack capacity
8.129463,3.9968605,ENTREPRENEUR,…and it rubbed some people the wrong way (jealousy)
0.33237487,2.2192192,CERTAINTY,its how you solve those real problems…you need to live in the customer/user<br>environment to figure th...
1.9919323,2.143561,CERTAINTY,"we need to be practical first; ask, 'why do you believe this can be sold again?'"
3.726341,0.93696517,CERTAINTY,(2) ..instead we do a little bit of both
8.261228,3.487697,FINANCIAL PERFORMANCE FIRST,"culture here is if i do it with my team i increase my budget, or if i let<br>someone else do it I will ..."
8.210835,3.5458167,FINANCIAL PERFORMANCE FIRST,if I don't put it in the budget it won't get funded
0.23821877,3.6820483,CERTAINTY,if we did (get good customer pain point data) we would innovate more
1.3097593,1.8341066,CERTAINTY,There are 3 different versions of need; NPD is the intersection of 3 segments<br>(reuse example)
0.1514347,2.8710046,FINANCIAL PERFORMANCE FIRST,"I'll try to get enough capacity so I can send people out…(Goulds story from<br>younger days….""maybe it ..."
8.186067,5.0157843,CERTAINTY,the way it has worked in the past doesn’t have to be the way it works today
1.1774266,7.325605,FINANCIAL PERFORMANCE FIRST,you have to demonstrate Xylem value to drive change
