UMAP_X,UMAP_Y,UMAP_Z,Dominant_Logic,Passage
8.9042425,-0.34991604,5.743152,CERTAINTY,And then getting to the real pain point for the customer to innovate around that we don't get good data on that.
9.110139,2.0191164,3.8380039,FINANCIAL PERFORMANCE FIRST,large parts of the business don't account for the cost of labor...difficlult to engage with broader XYL
9.898711,-0.99110377,5.3422227,ENTREPRENEUR,ideally you would form a team that came from different parts of the business to deliver that particular solution
9.513027,1.8898393,5.176243,FINANCIAL PERFORMANCE FIRST,non financial value is not enough to drive change
9.664849,1.5280393,6.3490176,CERTAINTY,most new solutions go out the window in our market (water industry is old school)
8.645773,0.710664,5.5939007,ENTREPRENEUR,Sensus is doing (interesting) R&D work…
9.693948,2.3425431,6.2799606,FIRST-HAND KNOWLEDGE,they think they will sell their solutions to others inside Xylem...stop being a child
9.95026,-0.59687626,6.247088,(UNIQUE),sales people have different filters…sales people are wired on relationship and selling…not on solving
9.109199,2.1536305,4.154803,FINANCIAL PERFORMANCE FIRST,CTs are kings and heroes and sell whatever they want (XYL never kills products)
10.542574,1.5551108,5.0926137,FINANCIAL PERFORMANCE FIRST,shareholders are in it for the short term rather than the long term
8.89676,1.051807,3.4267554,CERTAINTY,put people who move fast and are not afraid to take a little bit of risk in that DGC
9.616836,1.3155063,5.6260314,CERTAINTY,utility customers spend public money; they are constrained
10.512251,0.26526007,5.222131,FINANCIAL PERFORMANCE FIRST,will the remaining make the business case in 7 years?
10.753465,-0.07027383,5.1590285,ENTREPRENEUR,I give her (Sivan) air cover and deflect any incoming flak
9.132051,0.7162655,5.529213,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,if i did we would start innovating more
9.129589,1.7517905,4.587817,FIRST-HAND KNOWLEDGE,by centralizing into a DGS they lose control (Avensor gateway example...)
10.377432,0.34922865,5.063102,FINANCIAL PERFORMANCE FIRST,I think resources certainly get in the way
9.007499,0.22397614,4.385141,EXPERIMENT AND ITERATE,"i would hope its just about showing people it can be done…once you show people how to do it they go, 'oh, that's how you do it…'"
9.268189,0.76165,3.7394133,CERTAINTY,"I would be more happy to be unhappy...we go rogue because we have to (because decisions aren't made in the center or take too long, so we are forced to act)"
9.140491,0.1998538,6.2525873,CERTAINTY,lets really invest time to find out what our customers and key markets would like us to do for them… and then digitize it (connected solutions)
8.805476,-0.17452969,5.5486827,CERTAINTY,what we don't know is how the customer is solving it
10.592263,0.3172951,5.8165655,CERTAINTY,whats the market really ready for? We should work at the pace at which the marke is ready
10.53601,-0.52318656,5.9002795,RULES,if I had the ecommerce thing…is there a certain segment personnel I could free up?
8.691933,0.7818578,5.999166,UNK,Apple innovated around the trends that they saw
10.4841795,-0.051010292,4.3257394,RULES,we need one decision-maker...someone with P&L responsibilities aligned to the priorities
8.696937,0.55157053,6.189094,CERTAINTY,before Microsoft and Apple did that (dictated to the market) they saw enough trends to see where the market was going to go…they did their homework
9.034332,0.76952434,3.6772768,(NOT YET IDENTIFIED),if we need to do things differently we take that as acceptable risk
9.642135,0.18870197,4.807023,EXPERIMENT AND ITERATE,maybe one day we could pilot something….
8.657163,1.627151,5.7281365,ENTREPRENEUR,next generation products are not innovation
10.398287,1.0340806,6.56515,FINANCIAL PERFORMANCE FIRST/CERTAINTY,we know energy efficiency will be here forever...
8.868927,0.25268364,5.162528,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,we just don't spend enough time to figure that out
9.61389,0.85481864,4.097237,ENTREPRENEUR,people got fed up and left
9.647616,-0.4513177,4.3614655,DOMINANT LOGICS (CULTURAL MODEL),"PASSAGE (assumption, belief, goal, idealization, metonymy) or DISCOURSE (paraphrased)"
9.647112,-0.949617,4.8504796,CERTAINTY,there is no good or bad answer; it's just how you implement it (franchise vs centralized)
8.930762,1.7524707,4.5947857,FIRST-HAND KNOWLEDGE,they (WI/Avensor) want to develop all the functionality themselves
10.500155,0.015607756,5.285303,FINANCIAL PERFORMANCE FIRST,we have made a bet in our marketing plan…and then we'll see…but we need a little more slack capacity
9.749293,1.0449876,4.075011,ENTREPRENEUR,…and it rubbed some people the wrong way (jealousy)
8.723147,-0.44613135,5.7367816,CERTAINTY,its how you solve those real problems…you need to live in the customer/user environment to figure that out
10.383771,0.27843347,5.603625,CERTAINTY,"we need to be practical first; ask, 'why do you believe this can be sold again?'"
8.426978,0.7825972,5.1249704,CERTAINTY,(2) ..instead we do a little bit of both
10.314241,1.5075788,4.0681567,FINANCIAL PERFORMANCE FIRST,"culture here is if i do it with my team i increase my budget, or if i let someone else do it I will lose my budget"
10.265336,1.6446526,4.10355,FINANCIAL PERFORMANCE FIRST,if I don't put it in the budget it won't get funded
9.096944,0.13398679,5.852624,CERTAINTY,if we did (get good customer pain point data) we would innovate more
9.454602,1.3696027,5.1589704,CERTAINTY/FINANCIAL PERFORMANCE FIRST,we are losing the additional value we could be gaining with our customers (becaise we don't invest in new technolgies/solutions)
9.93655,1.2438049,6.7581306,RULES,by looking at companies that use water source heat pumps we can put our circulaters into them… that's clean as a whistle.
9.4764185,-0.8945141,5.7111683,CERTAINTY,There are 3 different versions of need; NPD is the intersection of 3 segments (reuse example)
10.184576,-0.32325512,5.767898,FINANCIAL PERFORMANCE FIRST,"I'll try to get enough capacity so I can send people out…(Goulds story from younger days….""maybe it started with a particular problem…"" but also ask, ""what else is bigging you?"". By spending enough time with customers we would figure out is there a better way to do this?)"
9.146612,0.052376315,3.9918356,CERTAINTY,the way it has worked in the past doesn’t have to be the way it works today
9.797485,2.3966758,6.021994,FINANCIAL PERFORMANCE FIRST,you have to demonstrate Xylem value to drive change
9.867878,0.09417849,5.353157,FINANCIAL PERFORMANCE FIRST,"but even if we have a nice opportunity, we haven't really sent people out to the 10 top WSHP companies to understand how our product might be used…we haven't gotten that far…"
9.848205,2.5404074,6.4931083,ENTREPRENEUR,what brings value to the customer? The xylem solutions stop at the problem stage. If I can show you the data you (customer) can come up with the solution yourself
9.22583,0.04479175,6.4970374,CERTAINTY,people want to engage with humans in a buying decision…the generation that has the buying power is used to buying that way…there is a social aspect to this
10.486453,0.6246123,5.9095197,RULES,lets make ourselves more productive to free up the capital to go be faster on the things that matter
8.954238,1.1498716,5.1727095,LOCAL,we are innovative...and we feel left outside...because we are tainted by the mechanical legacy
10.4805355,1.1953037,5.203049,CERTAINTY,"we sprinkle out investment,  1M here, 1M there..."
10.83692,-0.51347023,5.878434,FINANCIAL PERFORMANCE FIRST,The commercial teams are trying to meet today's sales and orders objectives. They are very near-term focused.
8.88413,0.76526695,4.061094,ENTREPRENEUR,"trying to something radically different (to the norm), when you get down to it, is often really hard"
9.322355,-0.67094874,6.0190415,CERTAINTY,"we need people who's full time job is to look at pain points…to see what the pain points really look like, by process or market segment…"
9.731595,-0.082245275,6.223259,ENTREPRENEUR,there are many reasons why our customers behave in an ineffective way…our solutuon may not be a magic wand…but can be a catalyst
8.886526,1.7538631,3.6973107,ENTREPRENEUR,the processes and traditions in XYL stand in the way of that (entrep and risk)
9.763459,-0.5107677,5.441466,FINANCIAL PERFORMANCE FIRST,"we have to meet the quarter...which is pressure, so working the space you know (vs what you don't) is easier"
8.724628,2.0468926,4.373065,CERTAINTY,eadh plant goes through their own process of selection...and it is very time consuming
10.178212,0.960123,6.337717,CERTAINTY,how many future regulatory frameworks are coming and how do we optimize?
10.638184,1.4477559,4.331806,FINANCIAL PERFORMANCE FIRST,everybody wants their own budgets...we never think can we pull together to make the pie bigger...
10.267597,1.7997525,4.2539754,FINANCIAL PERFORMANCE FIRST,if you don't get written in to budgets you don't sell any work no matter how hard you try
10.552905,0.6393511,4.3572893,FINANCIAL PERFORMANCE FIRST,because yoy are a stockholder controlled unit…a lot of times we will tighten the belt around some of these things…these we try to put in place get pulled back
10.281299,0.04529364,5.0552692,RULES,i dont think i've made the case on this thing…now that we are starting to catch up vs our competition…now maye we can have a few resources to go do this…
