Point_ID,UMAP_1,UMAP_2,UMAP_3,Dominant_Logic,Passage
0198ad61-f572-444e-b618-7beab5133603,0.4062771,0.099378906,0.033251654,CERTAINTY,And then getting to the real pain point for the customer to innovate around that we don't get good data on that.
031bf46f-fa16-46fb-8d36-5e091694c2ef,0.41285652,0.062979266,0.059578005,FINANCIAL PERFORMANCE FIRST,large parts of the business don't account for the cost of labor...difficlult to engage with broader XYL
035c88c0-5205-44ef-bc63-6a129f3b3a74,0.42418623,0.11497025,0.031792153,ENTREPRENEUR,ideally you would form a team that came from different parts of the business to deliver that particular solution
03f9a008-73fa-4c77-bdbb-a9e7a58d0850,0.39102784,0.06711453,0.060019743,FINANCIAL PERFORMANCE FIRST,non financial value is not enough to drive change
046af3a4-ede0-467f-a4f1-188a0973d198,0.40138218,0.09156919,0.05085376,CERTAINTY,most new solutions go out the window in our market (water industry is old school)
05557180-6a4a-40d2-b102-e538e3699390,0.42746535,0.06828928,0.043414753,ENTREPRENEUR,Sensus is doing (interesting) R&D work…
06d599c1-d651-468e-8bb6-dbad44aefb77,0.38280135,0.090932496,0.054108832,FIRST-HAND KNOWLEDGE,they think they will sell their solutions to others inside Xylem...stop being a child
08225269-628d-4674-b353-e2baffb09342,0.40006268,0.11687804,0.051373456,(UNIQUE),sales people have different filters…sales people are wired on relationship and selling…not on solving
121c16e9-9d18-490d-a4af-85a1824c8f54,0.40565565,0.060171142,0.05526711,FINANCIAL PERFORMANCE FIRST,CTs are kings and heroes and sell whatever they want (XYL never kills products)
130fbb4c-2e96-4f03-a932-fdbb3b9a16f3,0.3749659,0.07736914,0.07274114,FINANCIAL PERFORMANCE FIRST,shareholders are in it for the short term rather than the long term
14c97b3f-32a0-4cbb-a39f-ecf14630ac22,0.42914146,0.059176616,0.0582474,CERTAINTY,put people who move fast and are not afraid to take a little bit of risk in that DGC
15fc6771-6cf1-46e4-982b-c830c716d928,0.3908604,0.096937366,0.06544645,CERTAINTY,utility customers spend public money; they are constrained
1aea1d62-e870-44ea-a3d1-bd98c018f8cb,0.4163582,0.10976615,0.051931676,FINANCIAL PERFORMANCE FIRST,will the remaining make the business case in 7 years?
1b8f107f-f263-4f40-8f60-db91be524e6b,0.43267956,0.07694975,0.048386604,ENTREPRENEUR,I give her (Sivan) air cover and deflect any incoming flak
1b9f106e-cec3-498c-b497-eaf95f234eac,0.40980777,0.07114662,0.030915838,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,if i did we would start innovating more
1d891553-f42d-4ce8-b1a3-7a6bb5100858,0.4166054,0.08773937,0.0629959,FIRST-HAND KNOWLEDGE,by centralizing into a DGS they lose control (Avensor gateway example...)
1e3d7afd-105e-4649-b6c5-73096ba47018,0.40910992,0.11416689,0.04555713,FINANCIAL PERFORMANCE FIRST,I think resources certainly get in the way
202708ea-bbd4-4935-a98f-8d56481e4449,0.43874288,0.07697972,0.044542085,EXPERIMENT AND ITERATE,"i would hope its just about showing people it can be done…once you show people how to do it they go, 'oh, that's how you do it…'"
21edcbad-0bcb-4ab9-bbb2-8a64ebeb924e,0.4374258,0.08077069,0.058443278,CERTAINTY,"I would be more happy to be unhappy...we go rogue because we have to (because decisions aren't made in the center or take too long, so we are forced to act)"
2243ecd0-9cd4-4523-94db-dbe7d88c8fd1,0.40323067,0.092700504,0.044221874,CERTAINTY,lets really invest time to find out what our customers and key markets would like us to do for them… and then digitize it (connected solutions)
23afe962-8508-4a43-ba2d-2366ee1b209c,0.42100653,0.12293149,0.051492102,CERTAINTY,what we don't know is how the customer is solving it
253cbffb-ec01-4beb-86ae-c0cb21a4912e,0.4138237,0.10981921,0.046414733,CERTAINTY,whats the market really ready for? We should work at the pace at which the marke is ready
25b4fc21-8429-4de0-b950-6067ff65ca36,0.40035504,0.10534325,0.031984612,RULES,if I had the ecommerce thing…is there a certain segment personnel I could free up?
266f56f2-c440-45b6-9c36-0f8f20f45937,0.39589235,0.064541124,0.031152278,UNK,Apple innovated around the trends that they saw
26df07be-71cb-4b41-9815-a69862e9fba4,0.4169148,0.103067346,0.03145964,RULES,we need one decision-maker...someone with P&L responsibilities aligned to the priorities
29089712-32ff-4e05-9f4a-a1e8551d6b20,0.39327884,0.06870819,0.034420572,CERTAINTY,before Microsoft and Apple did that (dictated to the market) they saw enough trends to see where the market was going to go…they did their homework
2ad2ab14-be96-4d6b-b9a5-f6700567a084,0.4319958,0.07011471,0.059639536,(NOT YET IDENTIFIED),if we need to do things differently we take that as acceptable risk
2cfcd33c-caaa-4d95-a52a-45f6dfc47157,0.4401617,0.07817988,0.042235196,EXPERIMENT AND ITERATE,maybe one day we could pilot something….
2e79c8c5-3182-4593-bb35-e300ff7ffda5,0.39509916,0.046966713,0.042648837,ENTREPRENEUR,next generation products are not innovation
2e7c219d-8ef1-45aa-a9c2-ccaceb0f1273,0.41157058,0.0960183,0.04554379,FINANCIAL PERFORMANCE FIRST/CERTAINTY,we know energy efficiency will be here forever...
2f6c9795-697d-48b2-8775-3219be68958d,0.44313708,0.11452023,0.060721174,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,we just don't spend enough time to figure that out
304a7ea0-7b8e-4f4c-9cb9-cba3a21e18e8,0.42679194,0.09192612,0.07734776,ENTREPRENEUR,people got fed up and left
345276bb-1a26-47b1-b133-2cd916e05332,0.42163458,0.104287855,0.027748758,DOMINANT LOGICS (CULTURAL MODEL),"PASSAGE (assumption, belief, goal, idealization, metonymy) or DISCOURSE (paraphrased)"
