Point_ID,UMAP_1,UMAP_2,Dominant_Logic,Passage
0,0.09030728,3.2939222,CERTAINTY,And then getting to the real pain point for the customer to innovate around that we don't get good d...
1,11.275186,1.6866801,FINANCIAL PERFORMANCE FIRST,large parts of the business don't account for the cost of labor...difficlult to engage with broader ...
2,0.98167455,1.394951,ENTREPRENEUR,ideally you would form a team that came from different parts of the business to deliver that particu...
3,3.8912034,4.356915,FINANCIAL PERFORMANCE FIRST,non financial value is not enough to drive change
4,1.3684694,6.419276,CERTAINTY,most new solutions go out the window in our market (water industry is old school)
5,1.2803243,3.2170641,ENTREPRENEUR,Sensus is doing (interesting) R&D work…
6,11.312771,1.6474202,FINANCIAL PERFORMANCE FIRST,CTs are kings and heroes and sell whatever they want (XYL never kills products)
7,4.86328,4.081667,FINANCIAL PERFORMANCE FIRST,shareholders are in it for the short term rather than the long term
8,8.350604,5.4120507,CERTAINTY,put people who move fast and are not afraid to take a little bit of risk in that DGC
9,4.9450135,3.804334,CERTAINTY,utility customers spend public money; they are constrained
10,2.1811914,2.1588793,FINANCIAL PERFORMANCE FIRST,will the remaining make the business case in 7 years?
11,7.884652,4.66557,ENTREPRENEUR,I give her (Sivan) air cover and deflect any incoming flak
12,1.8780993,2.355767,FINANCIAL PERFORMANCE FIRST,I think resources certainly get in the way
13,8.431779,4.860412,CERTAINTY,I would be more happy to be unhappy...we go rogue because we have to (because decisions aren't made ...
14,0.8177782,4.077649,CERTAINTY,lets really invest time to find out what our customers and key markets would like us to do for them…...
15,0.47003046,2.0648937,CERTAINTY,what we don't know is how the customer is solving it
16,2.2783234,2.6823645,CERTAINTY,whats the market really ready for? We should work at the pace at which the marke is ready
17,1.1538683,3.9741123,CERTAINTY,before Microsoft and Apple did that (dictated to the market) they saw enough trends to see where the...
18,3.2102134,4.322851,ENTREPRENEUR,next generation products are not innovation
19,8.242166,4.1561813,ENTREPRENEUR,people got fed up and left
20,0.99236727,1.2939961,CERTAINTY,there is no good or bad answer; it's just how you implement it (franchise vs centralized)
21,2.1648526,1.748054,FINANCIAL PERFORMANCE FIRST,we have made a bet in our marketing plan…and then we'll see…but we need a little more slack capacity
22,8.129463,3.9968605,ENTREPRENEUR,…and it rubbed some people the wrong way (jealousy)
23,0.33237487,2.2192192,CERTAINTY,its how you solve those real problems…you need to live in the customer/user environment to figure th...
24,1.9919323,2.143561,CERTAINTY,"we need to be practical first; ask, 'why do you believe this can be sold again?'"
25,3.726341,0.93696517,CERTAINTY,(2) ..instead we do a little bit of both
26,8.261228,3.487697,FINANCIAL PERFORMANCE FIRST,"culture here is if i do it with my team i increase my budget, or if i let someone else do it I will ..."
27,8.210835,3.5458167,FINANCIAL PERFORMANCE FIRST,if I don't put it in the budget it won't get funded
28,0.23821877,3.6820483,CERTAINTY,if we did (get good customer pain point data) we would innovate more
29,1.3097593,1.8341066,CERTAINTY,There are 3 different versions of need; NPD is the intersection of 3 segments (reuse example)
30,0.1514347,2.8710046,FINANCIAL PERFORMANCE FIRST,"I'll try to get enough capacity so I can send people out…(Goulds story from younger days….""maybe it ..."
31,8.186067,5.0157843,CERTAINTY,the way it has worked in the past doesn’t have to be the way it works today
32,1.1774266,7.325605,FINANCIAL PERFORMANCE FIRST,you have to demonstrate Xylem value to drive change
33,1.9342461,1.9072844,FINANCIAL PERFORMANCE FIRST,"but even if we have a nice opportunity, we haven't really sent people out to the 10 top WSHP compani..."
34,1.05577,7.3237495,ENTREPRENEUR,what brings value to the customer? The xylem solutions stop at the problem stage. If I can show you ...
35,1.2032871,4.136103,CERTAINTY,people want to engage with humans in a buying decision…the generation that has the buying power is u...
36,5.059975,3.9638164,CERTAINTY,"we sprinkle out investment,  1M here, 1M there..."
37,0.9281566,3.0076408,FINANCIAL PERFORMANCE FIRST,The commercial teams are trying to meet today's sales and orders objectives. They are very near-term...
38,8.289822,5.231477,ENTREPRENEUR,"trying to something radically different (to the norm), when you get down to it, is often really hard"
39,0.06406124,3.4300978,CERTAINTY,we need people who's full time job is to look at pain points…to see what the pain points really look...
40,0.7878127,2.056604,ENTREPRENEUR,there are many reasons why our customers behave in an ineffective way…our solutuon may not be a magi...
41,11.220575,1.6878307,ENTREPRENEUR,the processes and traditions in XYL stand in the way of that (entrep and risk)
42,3.5208852,0.9267606,FINANCIAL PERFORMANCE FIRST,"we have to meet the quarter...which is pressure, so working the space you know (vs what you don't) i..."
43,10.67841,1.8502772,CERTAINTY,eadh plant goes through their own process of selection...and it is very time consuming
44,2.609533,3.341109,CERTAINTY,how many future regulatory frameworks are coming and how do we optimize?
45,8.323267,3.406611,FINANCIAL PERFORMANCE FIRST,everybody wants their own budgets...we never think can we pull together to make the pie bigger...
46,8.199153,3.5661602,FINANCIAL PERFORMANCE FIRST,if you don't get written in to budgets you don't sell any work no matter how hard you try
47,11.065292,1.6947019,FINANCIAL PERFORMANCE FIRST,because yoy are a stockholder controlled unit…a lot of times we will tighten the belt around some of...
48,11.238046,1.4434987,ENTREPRENEUR,the idea of doing something even if you didn't have the authority to do it is very much frowned upon...
49,2.858534,3.58134,FINANCIAL PERFORMANCE FIRST,we're still investing in fixed speed motors that only have a life of two or three years...we should ...
50,2.8909519,3.6727376,FINANCIAL PERFORMANCE FIRST,making it better
51,1.9848472,1.9683154,CERTAINTY,in our space there are a lot more companies and so we can't dictate terms to the market…things can g...
52,2.9295774,3.6244612,ENTREPRENEUR,Simplify for Growth has tried to make some of those things easier
53,1.1672801,7.442419,ENTREPRENEUR,"In Xylem, if I follow the process I've done my bit, I am not responsible"
54,2.7879248,3.5011733,CERTAINTY,what areas are likely to win out in climate change..and what products can we put in to that
55,2.9833145,4.0342174,ENTREPRENEUR,we want to spread the cultural approach to innovation from here (Cambridge)
56,8.118139,5.300157,ENTREPRENEUR,they (sr mgt) are so amazinglyt risk averse
57,11.599707,1.4815316,ENTREPRENEUR,XPD is extremely prescripive and its all about managing the risk at product launch and to extent the...
58,3.971806,1.1335572,CERTAINTY,how slow we are in everything
59,0.31864575,2.4139817,ENTREPRENEUR,starting point with product development is always telling the customer what the solution (i.e.how do...
60,4.633671,4.0612154,FINANCIAL PERFORMANCE FIRST,how do you promise EBITDA growth if value (of our services) goes negative?
61,1.3757595,6.3480706,ENTREPRENEUR,if it doesn’t work we shall make the pump better (response of product engineer in Sweden)…but if som...
62,0.78751653,3.102767,CERTAINTY,sales and marketing people. Don't look out much…they don't have a good view od what's out there...VO...
63,5.1519785,3.3759503,FINANCIAL PERFORMANCE FIRST,the financial model is a proxy for many things -- how good is the idea; our ability to win; alignmen...
64,3.4969888,0.81514114,CERTAINTY,"what is my ""strike zone""?..."
65,3.5912447,0.96336496,FINANCIAL PERFORMANCE FIRST,"""do the math"""
66,1.18763,7.4661746,ENTREPRENEUR,this is startup behavior.This is not xylem behavior.
67,1.6437122,1.5195757,ENTREPRENEUR,now we have strategy review with Sai…
68,5.224201,3.5645761,FINANCIAL PERFORMANCE FIRST,it’s a commitment to the long term…this has certainly showed up in some of the surveys…
69,8.397969,4.7489047,CERTAINTY,there is a lack of acceptance for some projects not to work
70,5.287716,3.4506698,FINANCIAL PERFORMANCE FIRST,in the long run everything comes down to money…everything will have monetary impact
71,0.58768994,2.9305658,CERTAINTY,managing the funnel and sending engineers out with sales people (if I had more resources)
72,1.2402955,7.478368,CERTAINTY,"Xylem doesn’t move fast, and that's a problem"
73,8.422915,4.78087,CERTAINTY,what works in one region doesn’t in another
74,0.6021087,3.7200224,CERTAINTY,the world is moving quick; I would be trying to work on (ecommerce) faster
75,0.0069649154,3.222231,FINANCIAL PERFORMANCE FIRST,i don't have additional resources to get out in front of it (the customer's true pain points)
