UMAP_1,UMAP_2,Dominant_Logic,Passage,Point_ID,Point_ID_Display,Display_Preview
0.4062771,0.099378906,CERTAINTY,And then getting to the real pain point for the customer to innovate around that we don't get good data on that.,0198ad61-f572-444e-b618-7beab5133603,0,And then getting to the real pain point for the customer to ...
0.41285652,0.062979266,FINANCIAL PERFORMANCE FIRST,large parts of the business don't account for the cost of labor...difficlult to engage with broader XYL,031bf46f-fa16-46fb-8d36-5e091694c2ef,1,large parts of the business don't account for the cost of la...
0.42418623,0.11497025,ENTREPRENEUR,ideally you would form a team that came from different parts of the business to deliver that particular solution,035c88c0-5205-44ef-bc63-6a129f3b3a74,2,ideally you would form a team that came from different parts...
0.39102784,0.06711453,FINANCIAL PERFORMANCE FIRST,non financial value is not enough to drive change,03f9a008-73fa-4c77-bdbb-a9e7a58d0850,3,non financial value is not enough to drive change
0.40138218,0.09156919,CERTAINTY,most new solutions go out the window in our market (water industry is old school),046af3a4-ede0-467f-a4f1-188a0973d198,4,most new solutions go out the window in our market (water in...
0.42746535,0.06828928,ENTREPRENEUR,Sensus is doing (interesting) R&D work…,05557180-6a4a-40d2-b102-e538e3699390,5,Sensus is doing (interesting) R&D work…
0.38280135,0.090932496,FIRST-HAND KNOWLEDGE,they think they will sell their solutions to others inside Xylem...stop being a child,06d599c1-d651-468e-8bb6-dbad44aefb77,6,they think they will sell their solutions to others inside X...
0.40006268,0.11687804,(UNIQUE),sales people have different filters…sales people are wired on relationship and selling…not on solving,08225269-628d-4674-b353-e2baffb09342,7,sales people have different filters…sales people are wired o...
0.40565565,0.060171142,FINANCIAL PERFORMANCE FIRST,CTs are kings and heroes and sell whatever they want (XYL never kills products),121c16e9-9d18-490d-a4af-85a1824c8f54,8,CTs are kings and heroes and sell whatever they want (XYL ne...
0.3749659,0.07736914,FINANCIAL PERFORMANCE FIRST,shareholders are in it for the short term rather than the long term,130fbb4c-2e96-4f03-a932-fdbb3b9a16f3,9,shareholders are in it for the short term rather than the lo...
0.42914146,0.059176616,CERTAINTY,put people who move fast and are not afraid to take a little bit of risk in that DGC,14c97b3f-32a0-4cbb-a39f-ecf14630ac22,10,put people who move fast and are not afraid to take a little...
0.3908604,0.096937366,CERTAINTY,utility customers spend public money; they are constrained,15fc6771-6cf1-46e4-982b-c830c716d928,11,utility customers spend public money; they are constrained
0.4163582,0.10976615,FINANCIAL PERFORMANCE FIRST,will the remaining make the business case in 7 years?,1aea1d62-e870-44ea-a3d1-bd98c018f8cb,12,will the remaining make the business case in 7 years?
0.43267956,0.07694975,ENTREPRENEUR,I give her (Sivan) air cover and deflect any incoming flak,1b8f107f-f263-4f40-8f60-db91be524e6b,13,I give her (Sivan) air cover and deflect any incoming flak
0.40980777,0.07114662,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,if i did we would start innovating more,1b9f106e-cec3-498c-b497-eaf95f234eac,14,if i did we would start innovating more
0.4166054,0.08773937,FIRST-HAND KNOWLEDGE,by centralizing into a DGS they lose control (Avensor gateway example...),1d891553-f42d-4ce8-b1a3-7a6bb5100858,15,by centralizing into a DGS they lose control (Avensor gatewa...
0.40910992,0.11416689,FINANCIAL PERFORMANCE FIRST,I think resources certainly get in the way,1e3d7afd-105e-4649-b6c5-73096ba47018,16,I think resources certainly get in the way
0.43874288,0.07697972,EXPERIMENT AND ITERATE,"i would hope its just about showing people it can be done…once you show people how to do it they go, 'oh, that's how you do it…'",202708ea-bbd4-4935-a98f-8d56481e4449,17,i would hope its just about showing people it can be done…on...
0.4374258,0.08077069,CERTAINTY,"I would be more happy to be unhappy...we go rogue because we have to (because decisions aren't made in the center or take too long, so we are forced to act)",21edcbad-0bcb-4ab9-bbb2-8a64ebeb924e,18,I would be more happy to be unhappy...we go rogue because we...
0.40323067,0.092700504,CERTAINTY,lets really invest time to find out what our customers and key markets would like us to do for them… and then digitize it (connected solutions),2243ecd0-9cd4-4523-94db-dbe7d88c8fd1,19,lets really invest time to find out what our customers and k...
0.42100653,0.12293149,CERTAINTY,what we don't know is how the customer is solving it,23afe962-8508-4a43-ba2d-2366ee1b209c,20,what we don't know is how the customer is solving it
0.4138237,0.10981921,CERTAINTY,whats the market really ready for? We should work at the pace at which the marke is ready,253cbffb-ec01-4beb-86ae-c0cb21a4912e,21,whats the market really ready for? We should work at the pac...
0.40035504,0.10534325,RULES,if I had the ecommerce thing…is there a certain segment personnel I could free up?,25b4fc21-8429-4de0-b950-6067ff65ca36,22,if I had the ecommerce thing…is there a certain segment pers...
0.39589235,0.064541124,UNK,Apple innovated around the trends that they saw,266f56f2-c440-45b6-9c36-0f8f20f45937,23,Apple innovated around the trends that they saw
0.4169148,0.103067346,RULES,we need one decision-maker...someone with P&L responsibilities aligned to the priorities,26df07be-71cb-4b41-9815-a69862e9fba4,24,we need one decision-maker...someone with P&L responsibiliti...
0.39327884,0.06870819,CERTAINTY,before Microsoft and Apple did that (dictated to the market) they saw enough trends to see where the market was going to go…they did their homework,29089712-32ff-4e05-9f4a-a1e8551d6b20,25,before Microsoft and Apple did that (dictated to the market)...
0.4319958,0.07011471,(NOT YET IDENTIFIED),if we need to do things differently we take that as acceptable risk,2ad2ab14-be96-4d6b-b9a5-f6700567a084,26,if we need to do things differently we take that as acceptab...
0.4401617,0.07817988,EXPERIMENT AND ITERATE,maybe one day we could pilot something….,2cfcd33c-caaa-4d95-a52a-45f6dfc47157,27,maybe one day we could pilot something….
0.39509916,0.046966713,ENTREPRENEUR,next generation products are not innovation,2e79c8c5-3182-4593-bb35-e300ff7ffda5,28,next generation products are not innovation
0.41157058,0.0960183,FINANCIAL PERFORMANCE FIRST/CERTAINTY,we know energy efficiency will be here forever...,2e7c219d-8ef1-45aa-a9c2-ccaceb0f1273,29,we know energy efficiency will be here forever...
0.44313708,0.11452023,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,we just don't spend enough time to figure that out,2f6c9795-697d-48b2-8775-3219be68958d,30,we just don't spend enough time to figure that out
